City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
379,madang,-5.2246,145.7966,297.64,92,100,3.32,PG
380,boa vista,2.8197,-60.6733,303.14,51,75,4.12,BR
381,broken hill,-31.95,141.4333,289.96,59,0,5.17,AU
382,vila do maio,15.1333,-23.2167,294.59,73,18,8.47,CV
383,lorengau,-2.0226,147.2712,301.24,69,95,2.33,PG
384,mnogovershinnyy,53.9353,139.9242,242.03,96,77,1.72,RU
385,sao filipe,14.8961,-24.4956,294.97,71,22,6.44,CV
386,sinazongwe,-17.2614,27.4618,296.31,88,95,1.32,ZM
387,sao gabriel da cachoeira,-0.1303,-67.0892,299.72,84,87,0.59,BR
388,cherskiy,68.75,161.3,251.55,99,100,1.77,RU
389,mbanza-ngungu,-5.25,14.8667,293.55,92,9,1.49,CD
390,rokytne,51.2796,27.214,273.62,94,100,4.28,UA
391,djibo,14.1022,-1.6306,298.07,7,36,3.86,BF
392,shunyi,40.125,116.6453,265.12,45,0,2.0,CN
393,husavik,66.0449,-17.3389,268.69,90,97,3.82,IS
394,kavaratti,10.5669,72.642,299.68,79,77,6.09,IN
395,klamath falls,42.2249,-121.7817,280.96,44,0,2.06,US
396,san miguel,13.4833,-88.1833,309.36,22,81,3.98,SV
397,ilyich,40.8464,68.5067,276.08,77,100,3.09,KZ
398,dongsheng,39.8161,109.9776,265.16,19,100,1.71,CN
399,nago,26.5881,127.9761,290.62,84,96,4.2,JP
400,seoul,37.5683,126.9778,268.84,66,0,1.54,KR
401,pierre,44.3683,-100.351,274.66,55,0,4.63,US
402,boueni,-12.9025,45.0761,300.14,80,52,2.75,YT
403,kumano,34.3442,132.5894,278.66,80,100,3.79,JP
404,sonoita,31.85,-112.8333,288.2,49,51,4.06,MX
405,acari,-15.4311,-74.6158,298.37,82,86,3.6,PE
406,camana,-16.6228,-72.7111,297.04,84,78,2.59,PE
407,bud,39.447,-86.1758,273.05,45,73,0.94,US
408,tromso,69.6496,18.957,269.47,93,75,0.0,NO
409,jatai,-17.8814,-51.7144,296.28,82,100,1.9,BR
410,egvekinot,66.3167,-179.1667,259.15,94,92,3.23,RU
411,tortosa,40.8125,0.5216,279.4,76,0,2.98,ES
412,basoko,1.2391,23.616,295.77,82,77,2.24,CD
413,wajima,37.4,136.9,275.3,63,100,7.68,JP
414,eguia,15.9065,119.8858,297.02,82,6,2.96,PH
415,najran,17.4924,44.1277,291.18,32,29,0.88,SA
416,maracacume,-2.0428,-45.9592,295.81,98,100,1.24,BR
417,tahe,52.3333,124.7333,245.79,93,6,2.01,CN
418,balsas,-7.5325,-46.0356,300.35,61,79,1.04,BR
